Job Title,Company Name,Job URL,Applied Date,Status,Status Date,Archived,Date Archived,Notes
AI Engineer,Unknown Company,https://job-boards.greenhouse.io/superset/jobs/4915113008?source=LinkedIn,2025-09-15,APPLIED,2025-09-15,No,N/A,
Graduate Quantitative Researcher,BlackEdge Capital,https://job-boards.greenhouse.io/blackedgecapital/jobs/4600444005,2025-09-15,APPLIED,2025-09-15,No,N/A,
Graduate Quantitative Researcher,BlackEdge Capital,https://job-boards.greenhouse.io/blackedgecapital/jobs/4600444005,2025-09-15,APPLIED,2025-09-15,No,N/A,
Machine Learning Engineer II,Honeywell,https://ibqbjb.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Honeywell/job/117190/apply/section/1,2025-09-13,APPLIED,2025-09-13,No,N/A,
2026 University Graduate - Data Scientist,Adobe,https://careers.adobe.com/us/en/job/R158866/2026-University-Graduate-Data-Scientist,N/A,SAVED,2025-09-12,No,N/A,
Machine Learning Engineer II,Uber,https://www.uber.com/global/en/careers/list/146971/,N/A,SAVED,2025-09-12,No,N/A,
Machine Learning Architect (LLMs),Neuroscale AI,https://careers.neuroscale.ai/32739,2025-09-11,APPLIED,2025-09-11,No,N/A,
AI/ML Engineer,Brain Co,https://jobs.ashbyhq.com/brainco/58cff031-5b0b-4b92-a1ea-2ebf2495d89d/application,2025-09-11,APPLIED,2025-09-11,No,N/A,
Machine Learning Engineer,"Rocket Mortgage, LLC",https://quickenloans.wd5.myworkdayjobs.com/en-US/rocket_careers/job/Detroit-MI/Machine-Learning-Engineer_R-080259-1/apply/applyManually?_gl=1*1ih5hm5*_ga*NTE4MjEwNTkwLjE3NTc1NjM5ODA.*_ga_LLXPKBBK68*czE3NTc1NjM5ODAkbzEkZzEkdDE3NTc1NjQwMDMkajM3JGwwJGgw*_ga_3WW2GJERM8*czE3NTc1NjM5ODAkbzEkZzEkdDE3NTc1NjQwMDMkajM3JGwwJGgw&source=Smashfly-MyRocketCareer,N/A,SAVED,2025-09-10,No,N/A,
ML Infrastructure Engineer,AppLovin,https://boards.greenhouse.io/applovin/jobs/4447610006,2025-09-10,APPLIED,2025-09-10,No,N/A,
